country,card_url,general,country_link,city,PM2.5,date,hour
Brazil,https://openaq.org/#/location/Piracicaba,Piracicaba,Brazil,"Piracicaba,",32,10/27/2017,20:00
Brazil,https://openaq.org/#/location/Santos-Ponta%20da%20Praia,Santos-Ponta da Praia,Brazil,"Santos,",15,10/27/2017,20:00
Brazil,https://openaq.org/#/location/S.Bernardo-Centro,S.Bernardo-Centro,Bernardo,São,38,10/27/2017,20:00
Brazil,https://openaq.org/#/location/S%C3%A3o%20Jos%C3%A9%20Do%20Rio%20Preto,São José Do Rio Preto,José,São,15,10/27/2017,20:00
Brazil,https://openaq.org/#/location/Grajau-Parelheiros,Grajau-Parelheiros,"Paulo,",Sao,0,10/26/2017,10:00
Brazil,https://openaq.org/#/location/Pico%20do%20Jaragu%C3%A1,Pico do Jaraguá,"Paulo,",Sao,59,10/27/2017,20:00
Brazil,https://openaq.org/#/location/Ribeir%C3%A3o%20Preto-Centro,Ribeirão Preto-Centro,"Paulo,",Sao,28,10/27/2017,20:00
Brazil,https://openaq.org/#/location/S.Jos%C3%A9%20dos%20Campos-Jd.Sat%C3%A9lite,S.José dos Campos-Jd.Satélite,"Paulo,",Sao,21,10/27/2017,20:00
Brazil,https://openaq.org/#/location/Cid.Universit%C3%A1ria-USP-Ipen,Cid.Universitária-USP-Ipen,"Paulo,",São,50,10/13/2017,17:00
Brazil,https://openaq.org/#/location/Congonhas,Congonhas,"Paulo,",São,39,10/27/2017,20:00
Brazil,https://openaq.org/#/location/Ibirapuera,Ibirapuera,"Paulo,",São,31,10/27/2017,20:00
Bulgaria,https://openaq.org/#/location/Dhaka,SPARTAN - Dhaka University,Bangladesh,"Dhaka,",6.4,9/21/2015,1:00
Bulgaria,https://openaq.org/#/location/BG0075A,BG0075A,Bulgaria,"Варна,",4.91,4/26/2020,0:00
Bulgaria,https://openaq.org/#/location/BG0045A,BG0045A,Bulgaria,"Русе,",14.43,4/26/2020,0:00
Canada,https://openaq.org/#/location/Athabasca%20Valley,Athabasca Valley,Canada,"ALBERTA,",6.4,4/25/2020,20:00
Canada,https://openaq.org/#/location/Beaverlodge,Beaverlodge,Canada,"ALBERTA,",1.7,4/26/2020,1:00
